année,pop_id,cha_id,nombre_employe
2008,pop_5,cha_4,832
2009,pop_5,cha_4,813
2010,pop_5,cha_4,823
2011,pop_5,cha_4,813
2012,pop_5,cha_4,831
2013,pop_5,cha_4,795
2014,pop_5,cha_4,794
2015,pop_5,cha_4,841
2016,pop_5,cha_4,843
2017,pop_5,cha_4,899
2018,pop_5,cha_4,885
2019,pop_5,cha_4,848
2020,pop_5,cha_4,828
1982,pop_3,cha_4,38
1983,pop_3,cha_4,37
1984,pop_3,cha_4,28
1985,pop_3,cha_4,31
1986,pop_3,cha_4,29
1987,pop_3,cha_4,24
1988,pop_3,cha_4,34
1989,pop_3,cha_4,26
1990,pop_3,cha_4,26
1991,pop_3,cha_4,28
1992,pop_3,cha_4,32
1993,pop_3,cha_4,44
1994,pop_3,cha_4,42
1995,pop_3,cha_4,49
1996,pop_3,cha_4,62
1997,pop_3,cha_4,65
1998,pop_3,cha_4,66
1999,pop_3,cha_4,67
2000,pop_3,cha_4,88
2001,pop_3,cha_4,77
2002,pop_3,cha_4,71
2003,pop_3,cha_4,78
2004,pop_3,cha_4,69
2005,pop_3,cha_4,89
2006,pop_3,cha_4,91
2007,pop_3,cha_4,89
2008,pop_3,cha_4,97
2009,pop_3,cha_4,112
2010,pop_3,cha_4,123
2011,pop_3,cha_4,128
2012,pop_3,cha_4,136
2013,pop_3,cha_4,116
2014,pop_3,cha_4,128
2015,pop_3,cha_4,144
2016,pop_3,cha_4,157
2017,pop_3,cha_4,164
2018,pop_3,cha_4,153
2019,pop_3,cha_4,165
2020,pop_3,cha_4,156
1982,pop_6,cha_4,63
1983,pop_6,cha_4,59
1984,pop_6,cha_4,64
1985,pop_6,cha_4,70
1986,pop_6,cha_4,63
1987,pop_6,cha_4,59
1988,pop_6,cha_4,59
1989,pop_6,cha_4,50
1990,pop_6,cha_4,41
1991,pop_6,cha_4,42
1992,pop_6,cha_4,46
1993,pop_6,cha_4,62
1994,pop_6,cha_4,62
1995,pop_6,cha_4,76
1996,pop_6,cha_4,82
1997,pop_6,cha_4,90
1998,pop_6,cha_4,102
1999,pop_6,cha_4,110
2000,pop_6,cha_4,106
2001,pop_6,cha_4,118
2002,pop_6,cha_4,137
2003,pop_6,cha_4,140
2004,pop_6,cha_4,142
2005,pop_6,cha_4,140
2006,pop_6,cha_4,147
2007,pop_6,cha_4,163
2008,pop_6,cha_4,196
2009,pop_6,cha_4,195
2010,pop_6,cha_4,200
2011,pop_6,cha_4,192
2012,pop_6,cha_4,218
2013,pop_6,cha_4,208
2014,pop_6,cha_4,231
2015,pop_6,cha_4,234
2016,pop_6,cha_4,234
2017,pop_6,cha_4,264
2018,pop_6,cha_4,260
2019,pop_6,cha_4,252
2020,pop_6,cha_4,230
1982,pop_1,cha_5,30
1983,pop_1,cha_5,26
1984,pop_1,cha_5,25
1985,pop_1,cha_5,28
1986,pop_1,cha_5,34
1987,pop_1,cha_5,28
1988,pop_1,cha_5,41
1989,pop_1,cha_5,58
1990,pop_1,cha_5,56
1991,pop_1,cha_5,41
1992,pop_1,cha_5,40
1993,pop_1,cha_5,36
1994,pop_1,cha_5,36
1995,pop_1,cha_5,53
1996,pop_1,cha_5,54
1997,pop_1,cha_5,59
1998,pop_1,cha_5,76
1999,pop_1,cha_5,91
2000,pop_1,cha_5,108
2001,pop_1,cha_5,122
2002,pop_1,cha_5,105
2003,pop_1,cha_5,112
2004,pop_1,cha_5,117
2005,pop_1,cha_5,125
2006,pop_1,cha_5,113
2007,pop_1,cha_5,119
2008,pop_1,cha_5,114
2009,pop_1,cha_5,82
2010,pop_1,cha_5,93
2011,pop_1,cha_5,106
2012,pop_1,cha_5,94
2013,pop_1,cha_5,91
2014,pop_1,cha_5,92
2015,pop_1,cha_5,94
2016,pop_1,cha_5,107
2017,pop_1,cha_5,115
2018,pop_1,cha_5,122
2019,pop_1,cha_5,105
2020,pop_1,cha_5,96
1982,pop_4,cha_5,15
1983,pop_4,cha_5,15
1984,pop_4,cha_5,11
1985,pop_4,cha_5,16
1986,pop_4,cha_5,10
1987,pop_4,cha_5,11
1988,pop_4,cha_5,16
1989,pop_4,cha_5,23
1990,pop_4,cha_5,19
1991,pop_4,cha_5,16
1992,pop_4,cha_5,17
1993,pop_4,cha_5,13
1994,pop_4,cha_5,14
1995,pop_4,cha_5,20
1996,pop_4,cha_5,19
1997,pop_4,cha_5,25
1998,pop_4,cha_5,34
1999,pop_4,cha_5,32
2000,pop_4,cha_5,35
2001,pop_4,cha_5,42
2002,pop_4,cha_5,43
2003,pop_4,cha_5,48
2004,pop_4,cha_5,42
2005,pop_4,cha_5,49
2006,pop_4,cha_5,43
2007,pop_4,cha_5,41
2008,pop_4,cha_5,43
2009,pop_4,cha_5,34
2010,pop_4,cha_5,41
2011,pop_4,cha_5,51
2012,pop_4,cha_5,40
2013,pop_4,cha_5,33
2014,pop_4,cha_5,37
2015,pop_4,cha_5,35
2016,pop_4,cha_5,40
2017,pop_4,cha_5,49
2018,pop_4,cha_5,55
2019,pop_4,cha_5,51
2020,pop_4,cha_5,45
1982,pop_2,cha_5,29
1983,pop_2,cha_5,28
1984,pop_2,cha_5,20
1985,pop_2,cha_5,28
1986,pop_2,cha_5,34
1987,pop_2,cha_5,37
1988,pop_2,cha_5,47
1989,pop_2,cha_5,69
1990,pop_2,cha_5,67
1991,pop_2,cha_5,67
1992,pop_2,cha_5,64
1993,pop_2,cha_5,54
1994,pop_2,cha_5,69
1995,pop_2,cha_5,95
1996,pop_2,cha_5,93
1997,pop_2,cha_5,114
1998,pop_2,cha_5,134
1999,pop_2,cha_5,149
2000,pop_2,cha_5,185
2001,pop_2,cha_5,194
2002,pop_2,cha_5,148
2003,pop_2,cha_5,169
2004,pop_2,cha_5,185
2005,pop_2,cha_5,210
2006,pop_2,cha_5,236
2007,pop_2,cha_5,239
2008,pop_2,cha_5,244
2009,pop_2,cha_5,185
2010,pop_2,cha_5,205
2011,pop_2,cha_5,230
2012,pop_2,cha_5,226
2013,pop_2,cha_5,236
2014,pop_2,cha_5,243
2015,pop_2,cha_5,268
2016,pop_2,cha_5,287
2017,pop_2,cha_5,306
2018,pop_2,cha_5,299
2019,pop_2,cha_5,288
2020,pop_2,cha_5,235
1982,pop_5,cha_5,19
1983,pop_5,cha_5,17
1984,pop_5,cha_5,19
1985,pop_5,cha_5,14
1986,pop_5,cha_5,19
1987,pop_5,cha_5,17
1988,pop_5,cha_5,21
1989,pop_5,cha_5,31
1990,pop_5,cha_5,32
1991,pop_5,cha_5,35
1992,pop_5,cha_5,37
1993,pop_5,cha_5,26
1994,pop_5,cha_5,39
1995,pop_5,cha_5,45
1996,pop_5,cha_5,38
